MacroIteration,PhaseName,MiniIteration,StartTime,EndTime,SpentTimeSec,mini_iter_lexical_density,mini_iter_unique_term_ratio,mini_iter_table_complexity_sum,mini_iter_trace_coverage,mini_iter_defect_density,mini_iter_artifact_churn_pct,newMissedReq,knownMissedReq,inProgressMissedReq,resolvedMissedReq,newSecurityGaps,knownSecurityGaps,inProgressSecurityGaps,resolvedSecurityGaps,newComplianceGaps,knownComplianceGaps,inProgressComplianceGaps,resolvedComplianceGaps,newPerformanceGaps,knownPerformanceGaps,inProgressPerformanceGaps,resolvedPerformanceGaps,newUsabilityGaps,knownUsabilityGaps,inProgressUsabilityGaps,resolvedUsabilityGaps,newOtherGaps,knownOtherGaps,inProgressOtherGaps,resolvedOtherGaps,mini_total_new,mini_total_known,mini_total_inprogress,mini_total_resolved,mini_total_open_all,mini_carried_over,mini_mean_closure_time,mini_feedback_impl_rate,mini_iter_open_defect_density,mini_iter_new_defect_density,mini_iter_critical_defect_density,mini_iter_high_defect_density,mini_iter_medium_defect_density,mini_iter_low_defect_density,mini_iter_rolling_avg_new_issues,mini_iter_rolling_avg_defect_density,mini_iter_rolling_avg_new_defect_density,mini_iter_new_issue_count,mini_iter_known_issue_count,mini_iter_inprogress_issue_count,mini_iter_resolved_issue_count,mini_iter_open_issue_count,actual_resolved_now
1,Initiating,1,2025-10-26T12:08:54.243846,2025-10-26T12:10:32.093044,97.849198,0.824,0.403,105,100.0,0.01,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,1.0,0.01,0.01,1,0,0,0,1,0
1,Initiating,1,2025-10-26T12:08:54.243772,2025-10-26T12:10:32.126052,97.88228,0.824,0.403,105,100.0,0.01,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,1.0,0.01,0.01,1,0,0,0,1,0
1,Initiating,2,2025-10-26T12:10:55.112995,2025-10-26T12:13:16.953468,141.840473,0.812,0.385,111,100.0,0.027,126.32,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,2.0,100.0,0.027,0.027,0.0,0.0,0.027,0.0,2.0,0.018,0.018,3,0,0,1,3,1
1,Initiating,2,2025-10-26T12:10:55.112971,2025-10-26T12:13:27.935842,152.822871,0.812,0.385,111,100.0,0.027,126.32,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,2.0,100.0,0.027,0.027,0.0,0.0,0.027,0.0,2.0,0.018,0.018,3,0,0,1,3,1
1,FeasibilityStudy,1,2025-10-26T12:13:56.727867,2025-10-26T12:17:10.963722,194.235855,0.779,0.292,324,100.0,0.009,0.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,3.0,25.0,0.009,0.0,0.0,0.003,0.006,0.0,0.0,0.009,0.0,0,3,0,1,3,1
1,FeasibilityStudy,1,2025-10-26T12:13:56.727836,2025-10-26T12:17:11.079181,194.351345,0.779,0.292,324,100.0,0.009,0.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,3.0,25.0,0.009,0.0,0.0,0.003,0.006,0.0,0.0,0.009,0.0,0,3,0,1,3,1
1,FeasibilityStudy,2,2025-10-26T12:17:27.488269,2025-10-26T12:20:53.716160,206.227891,0.766,0.27,344,100.0,0.006,39.58,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,3.0,100.0,0.006,0.006,0.0,0.0,0.006,0.0,1.0,0.007,0.003,2,0,0,2,2,3
1,FeasibilityStudy,2,2025-10-26T12:17:27.488240,2025-10-26T12:21:11.040487,223.552247,0.766,0.27,344,100.0,0.006,39.58,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,3.0,100.0,0.006,0.006,0.0,0.0,0.006,0.0,1.0,0.007,0.003,2,0,0,2,2,3
2,Initiating,1,2025-10-26T12:21:41.978013,2025-10-26T12:25:02.018003,200.03999,0.779,0.386,102,100.0,0.01,138.1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,3.5,80.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0,1,0,4,1,4
2,Initiating,1,2025-10-26T12:21:41.977977,2025-10-26T12:25:02.059709,200.081732,0.779,0.386,102,100.0,0.01,138.1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,3.5,80.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0,1,0,4,1,4
2,Initiating,2,2025-10-26T12:25:32.801705,2025-10-26T12:28:40.669056,187.867351,0.749,0.382,114,100.0,0.026,108.33,2,1,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,3,4,4.4,100.0,0.026,0.018,0.0,0.0,0.026,0.0,1.0,0.018,0.009,2,0,1,5,3,5
2,Initiating,2,2025-10-26T12:25:32.801685,2025-10-26T12:29:12.624660,219.822975,0.749,0.382,114,100.0,0.026,108.33,2,1,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,3,4,4.4,100.0,0.026,0.018,0.0,0.0,0.026,0.0,1.0,0.018,0.009,2,0,1,5,3,5
2,FeasibilityStudy,1,2025-10-26T12:29:36.752408,2025-10-26T12:32:27.287535,170.535127,0.757,0.243,420,100.0,0.002,100.0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,4.0,75.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0,1,0,3,1,3
2,FeasibilityStudy,1,2025-10-26T12:29:36.752387,2025-10-26T12:32:27.416600,170.664213,0.757,0.243,420,100.0,0.002,100.0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,4.0,75.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0,1,0,3,1,3
2,FeasibilityStudy,2,2025-10-26T12:33:01.535439,2025-10-26T12:36:14.445032,192.909593,0.766,0.232,471,100.0,0.0,100.0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,7,0,7
2,FeasibilityStudy,2,2025-10-26T12:33:01.535409,2025-10-26T12:37:02.956727,241.421318,0.766,0.232,471,100.0,0.0,100.0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,7,0,7
